id,subject,year,question_number,marks,question_type,language,model,response_length_words,memo_answer_score,memo_steps_score,combined_score,error
bio_2025_p1_q1_2_1,Life Sciences,2025,1.2.1,1,fill_in_blank,af,models/gemini-2.5-flash,5,0.0,0.0,0.0,
bio_2025_p1_q1_2_2,Life Sciences,2025,1.2.2,1,fill_in_blank,en,models/gemini-2.5-flash,6,0.0,0.0,0.0,
bio_2025_p1_q1_2_2,Life Sciences,2025,1.2.2,1,fill_in_blank,af,models/gemini-2.5-flash,6,0.0,0.0,0.0,
bio_2025_p1_q1_2_3,Life Sciences,2025,1.2.3,1,fill_in_blank,en,models/gemini-2.5-flash,6,1.0,1.0,1.0,
bio_2025_p1_q1_2_3,Life Sciences,2025,1.2.3,1,fill_in_blank,af,models/gemini-2.5-flash,6,0.0,0.0,0.0,
bio_2025_p1_q1_2_4,Life Sciences,2025,1.2.4,1,fill_in_blank,en,models/gemini-2.5-flash,14,1.0,1.0,1.0,
bio_2025_p1_q1_2_4,Life Sciences,2025,1.2.4,1,fill_in_blank,af,models/gemini-2.5-flash,11,0.0,0.0,0.0,
bio_2025_p1_q1_2_5,Life Sciences,2025,1.2.5,1,fill_in_blank,en,models/gemini-2.5-flash,6,1.0,1.0,1.0,
bio_2025_p1_q1_2_5,Life Sciences,2025,1.2.5,1,fill_in_blank,af,models/gemini-2.5-flash,6,0.0,0.0,0.0,
bio_2025_p1_q1_2_6,Life Sciences,2025,1.2.6,1,fill_in_blank,en,models/gemini-2.5-flash,6,1.0,1.0,1.0,
bio_2025_p1_q1_2_6,Life Sciences,2025,1.2.6,1,fill_in_blank,af,models/gemini-2.5-flash,6,1.0,1.0,1.0,
bio_2025_p1_q1_2_7,Life Sciences,2025,1.2.7,1,fill_in_blank,en,models/gemini-2.5-flash,8,1.0,1.0,1.0,
bio_2025_p1_q1_2_7,Life Sciences,2025,1.2.7,1,fill_in_blank,af,models/gemini-2.5-flash,6,0.0,0.0,0.0,
bio_2025_p1_q1_2_8,Life Sciences,2025,1.2.8,1,fill_in_blank,en,models/gemini-2.5-flash,6,1.0,1.0,1.0,
bio_2025_p1_q1_2_8,Life Sciences,2025,1.2.8,1,fill_in_blank,af,models/gemini-2.5-flash,6,0.0,0.0,0.0,
bio_2025_p1_q1_3_1,Life Sciences,2025,1.3.1,2,short_answer,en,models/gemini-2.5-flash,4,1.0,0.2353,0.6941,
bio_2025_p1_q1_3_1,Life Sciences,2025,1.3.1,2,short_answer,af,models/gemini-2.5-flash,0,0.0,0.0,0.0,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
bio_2025_p1_q1_3_2,Life Sciences,2025,1.3.2,2,short_answer,en,models/gemini-2.5-flash,2,1.0,0.1111,0.6444,
bio_2025_p1_q1_3_2,Life Sciences,2025,1.3.2,2,short_answer,af,models/gemini-2.5-flash,65,0.5,0.1667,0.3667,
bio_2025_p1_q1_3_3,Life Sciences,2025,1.3.3,2,short_answer,en,models/gemini-2.5-flash,4,1.0,0.2353,0.6941,
bio_2025_p1_q1_3_3,Life Sciences,2025,1.3.3,2,short_answer,af,models/gemini-2.5-flash,51,0.5,0.1176,0.3471,
bio_2025_p1_q2_1_1,Life Sciences,2025,2.1.1,3,explanation,en,models/gemini-2.5-flash,120,0.5,0.4545,0.4818,
bio_2025_p1_q2_1_1,Life Sciences,2025,2.1.1,3,explanation,af,models/gemini-2.5-flash,204,0.0,0.0,0.0,
bio_2025_p1_q2_1_2,Life Sciences,2025,2.1.2,3,list,en,models/gemini-2.5-flash,87,1.0,1.0,1.0,
bio_2025_p1_q2_1_2,Life Sciences,2025,2.1.2,3,list,af,models/gemini-2.5-flash,73,0.0,0.0,0.0,
bio_2025_p1_q2_1_3,Life Sciences,2025,2.1.3,2,explanation,en,models/gemini-2.5-flash,109,0.6,0.6667,0.6267,
bio_2025_p1_q2_1_3,Life Sciences,2025,2.1.3,2,explanation,af,models/gemini-2.5-flash,92,0.0,0.0,0.0,
bio_2025_p1_q2_2_2,Life Sciences,2025,2.2.2,2,explanation,en,models/gemini-2.5-flash,388,0.65,0.5909,0.6264,
bio_2025_p1_q2_2_2,Life Sciences,2025,2.2.2,2,explanation,af,models/gemini-2.5-flash,347,0.15,0.1364,0.1445,
bio_2025_p1_q2_2_3,Life Sciences,2025,2.2.3,5,description,en,models/gemini-2.5-flash,518,0.7647,0.6842,0.7325,
bio_2025_p1_q2_2_3,Life Sciences,2025,2.2.3,5,description,af,models/gemini-2.5-flash,462,0.1176,0.1053,0.1127,
bio_2025_p1_q2_3_1a,Life Sciences,2025,2.3.1(a),3,explanation,en,models/gemini-2.5-flash,188,0.6429,0.6429,0.6429,
bio_2025_p1_q2_3_1a,Life Sciences,2025,2.3.1(a),3,explanation,af,models/gemini-2.5-flash,271,0.2857,0.2857,0.2857,
bio_2025_p1_q2_3_1b,Life Sciences,2025,2.3.1(b),2,explanation,en,models/gemini-2.5-flash,106,0.4444,0.4444,0.4444,
bio_2025_p1_q2_3_1b,Life Sciences,2025,2.3.1(b),2,explanation,af,models/gemini-2.5-flash,130,0.1111,0.1111,0.1111,
bio_2025_p1_q2_3_2,Life Sciences,2025,2.3.2,2,description,en,models/gemini-2.5-flash,284,0.5,0.5,0.5,
bio_2025_p1_q2_3_2,Life Sciences,2025,2.3.2,2,description,af,models/gemini-2.5-flash,386,0.0,0.0,0.0,
bio_2025_p1_q2_3_3,Life Sciences,2025,2.3.3,1,short_answer,en,models/gemini-2.5-flash,141,0.7143,0.7857,0.7429,
bio_2025_p1_q2_3_3,Life Sciences,2025,2.3.3,1,short_answer,af,models/gemini-2.5-flash,194,0.0,0.0,0.0,
bio_2025_p1_q2_4_1,Life Sciences,2025,2.4.1,1,short_answer,en,models/gemini-2.5-flash,11,1.0,1.0,1.0,
bio_2025_p1_q2_4_1,Life Sciences,2025,2.4.1,1,short_answer,af,models/gemini-2.5-flash,11,0.0,0.0,0.0,
bio_2025_p1_q2_5_1,Life Sciences,2025,2.5.1,1,short_answer,en,models/gemini-2.5-flash,12,1.0,1.0,1.0,
bio_2025_p1_q2_5_1,Life Sciences,2025,2.5.1,1,short_answer,af,models/gemini-2.5-flash,12,0.0,0.0,0.0,
bio_2025_p1_q2_5_2,Life Sciences,2025,2.5.2,3,list,en,models/gemini-2.5-flash,103,0.6429,0.6429,0.6429,
bio_2025_p1_q2_5_2,Life Sciences,2025,2.5.2,3,list,af,models/gemini-2.5-flash,98,0.0,0.0,0.0,
bio_2025_p1_q2_5_3,Life Sciences,2025,2.5.3,2,explanation,en,models/gemini-2.5-flash,168,0.65,0.68,0.662,
bio_2025_p1_q2_5_3,Life Sciences,2025,2.5.3,2,explanation,af,models/gemini-2.5-flash,124,0.15,0.2,0.17,
bio_2025_p1_q2_5_4,Life Sciences,2025,2.5.4,3,short_answer,en,models/gemini-2.5-flash,70,1.0,0.7143,0.8857,
bio_2025_p1_q2_5_4,Life Sciences,2025,2.5.4,3,short_answer,af,models/gemini-2.5-flash,82,1.0,0.7143,0.8857,
bio_2025_p1_q2_5_5,Life Sciences,2025,2.5.5,2,short_answer,en,models/gemini-2.5-flash,33,0.5833,0.5833,0.5833,
bio_2025_p1_q2_5_5,Life Sciences,2025,2.5.5,2,short_answer,af,models/gemini-2.5-flash,36,0.0,0.0,0.0,
bio_2025_p1_q3_1_2,Life Sciences,2025,3.1.2,1,description,en,models/gemini-2.5-flash,351,0.8,0.8,0.8,
bio_2025_p1_q3_1_2,Life Sciences,2025,3.1.2,1,description,af,models/gemini-2.5-flash,263,0.2,0.2,0.2,
bio_2025_p1_q3_1_3,Life Sciences,2025,3.1.3,3,explanation,en,models/gemini-2.5-flash,435,0.7647,0.7647,0.7647,
bio_2025_p1_q3_1_3,Life Sciences,2025,3.1.3,3,explanation,af,models/gemini-2.5-flash,439,0.1176,0.1176,0.1176,
bio_2025_p1_q3_1_4,Life Sciences,2025,3.1.4,1,short_answer,en,models/gemini-2.5-flash,6,0.0,0.25,0.1,
bio_2025_p1_q3_1_4,Life Sciences,2025,3.1.4,1,short_answer,af,models/gemini-2.5-flash,140,0.0,0.0,0.0,
bio_2025_p1_q3_2_1,Life Sciences,2025,3.2.1,1,short_answer,en,models/gemini-2.5-flash,32,1.0,1.0,1.0,
bio_2025_p1_q3_2_1,Life Sciences,2025,3.2.1,1,short_answer,af,models/gemini-2.5-flash,39,0.0,0.0,0.0,
bio_2025_p1_q3_2_3,Life Sciences,2025,3.2.3,6,description,en,models/gemini-2.5-flash,511,0.7857,0.7857,0.7857,
bio_2025_p1_q3_2_3,Life Sciences,2025,3.2.3,6,description,af,models/gemini-2.5-flash,419,0.1786,0.1786,0.1786,
bio_2025_p1_q3_3,Life Sciences,2025,3.3,5,description,en,models/gemini-2.5-flash,230,0.7917,0.7917,0.7917,
bio_2025_p1_q3_3,Life Sciences,2025,3.3,5,description,af,models/gemini-2.5-flash,215,0.2083,0.2083,0.2083,
bio_2025_p1_q3_4_3,Life Sciences,2025,3.4.3,5,description,en,models/gemini-2.5-flash,0,0.0,0.0,0.0,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
bio_2025_p1_q3_4_3,Life Sciences,2025,3.4.3,5,description,af,models/gemini-2.5-flash,567,0.12,0.12,0.12,
bio_2025_p1_q3_4_4a,Life Sciences,2025,3.4.4(a),2,explanation,en,models/gemini-2.5-flash,293,0.4167,0.4167,0.4167,
bio_2025_p1_q3_4_4a,Life Sciences,2025,3.4.4(a),2,explanation,af,models/gemini-2.5-flash,315,0.0,0.0,0.0,
bio_2025_p1_q3_4_4b,Life Sciences,2025,3.4.4(b),3,explanation,en,models/gemini-2.5-flash,231,0.7143,0.7143,0.7143,
bio_2025_p1_q3_4_4b,Life Sciences,2025,3.4.4(b),3,explanation,af,models/gemini-2.5-flash,210,0.0476,0.0476,0.0476,
bio_2025_p1_q3_5_1,Life Sciences,2025,3.5.1,1,short_answer,en,models/gemini-2.5-flash,8,1.0,1.0,1.0,
bio_2025_p1_q3_5_1,Life Sciences,2025,3.5.1,1,short_answer,af,models/gemini-2.5-flash,8,0.0,0.0,0.0,
bio_2025_p1_q3_5_2,Life Sciences,2025,3.5.2,1,short_answer,en,models/gemini-2.5-flash,36,0.0,0.6667,0.2667,
bio_2025_p1_q3_5_2,Life Sciences,2025,3.5.2,1,short_answer,af,models/gemini-2.5-flash,11,0.0,0.3333,0.1333,
bio_2025_p1_q3_5_3,Life Sciences,2025,3.5.3,5,comparison,en,models/gemini-2.5-flash,104,0.2727,0.3409,0.3,
bio_2025_p1_q3_5_3,Life Sciences,2025,3.5.3,5,comparison,af,models/gemini-2.5-flash,54,0.0455,0.0682,0.0545,
bio_2025_p1_q3_5_4,Life Sciences,2025,3.5.4,1,short_answer,en,models/gemini-2.5-flash,129,1.0,0.6923,0.8769,
bio_2025_p1_q3_5_4,Life Sciences,2025,3.5.4,1,short_answer,af,models/gemini-2.5-flash,67,0.0,0.0,0.0,
bio_2025_p1_q3_5_5,Life Sciences,2025,3.5.5,2,explanation,en,models/gemini-2.5-flash,387,0.5238,0.5909,0.5506,
bio_2025_p1_q3_5_5,Life Sciences,2025,3.5.5,2,explanation,af,models/gemini-2.5-flash,408,0.0476,0.0455,0.0468,
