id,subject,year,question_number,marks,question_type,language,model,response_length_words,memo_answer_score,memo_steps_score,combined_score,gemini_judge_score,claude_judge_score,error
bus_2025_q1_2_4,Business Studies,2025,1.2.4,2,fill_in_blank,af,models/gemini-2.5-flash,25,0.0,0.0,0.0,,1.0,
bus_2025_q1_2_5,Business Studies,2025,1.2.5,2,fill_in_blank,en,models/gemini-2.5-flash,1,0.0,0.0,0.0,,0.2,
bus_2025_q1_2_5,Business Studies,2025,1.2.5,2,fill_in_blank,af,models/gemini-2.5-flash,5,0.0,0.0,0.0,,1.0,
bus_2025_q2_1,Business Studies,2025,2.1,4,list,en,models/gemini-2.5-flash,76,0.7778,0.1667,0.5333,,1.0,
bus_2025_q2_1,Business Studies,2025,2.1,4,list,af,models/gemini-2.5-flash,124,0.7778,0.1667,0.5333,,0.75,
bus_2025_q2_2,Business Studies,2025,2.2,4,short_answer,en,models/gemini-2.5-flash,609,0.6486,0.6364,0.6437,,0.85,
bus_2025_q2_2,Business Studies,2025,2.2,4,short_answer,af,models/gemini-2.5-flash,217,0.1892,0.1364,0.1681,,0.75,
bus_2025_q2_3_1,Business Studies,2025,2.3.1,3,scenario_analysis,en,models/gemini-2.5-flash,63,0.8889,0.3333,0.6667,,0.95,
bus_2025_q2_3_1,Business Studies,2025,2.3.1,3,scenario_analysis,af,models/gemini-2.5-flash,101,0.0556,0.1111,0.0778,,1.0,
bus_2025_q2_4,Business Studies,2025,2.4,4,explanation,en,models/gemini-2.5-flash,665,0.4524,0.4615,0.456,,0.75,
bus_2025_q2_4,Business Studies,2025,2.4,4,explanation,af,models/gemini-2.5-flash,544,0.1667,0.1923,0.1769,,0.75,
bus_2025_q2_5,Business Studies,2025,2.5,6,discussion,en,models/gemini-2.5-flash,741,0.4545,0.6667,0.5394,,0.9,
bus_2025_q2_5,Business Studies,2025,2.5,6,discussion,af,models/gemini-2.5-flash,558,0.1364,0.6667,0.3485,,0.85,
bus_2025_q2_6_2,Business Studies,2025,2.6.2,4,recommendation,en,models/gemini-2.5-flash,811,0.5625,0.4444,0.5153,,0.85,
bus_2025_q2_6_2,Business Studies,2025,2.6.2,4,recommendation,af,models/gemini-2.5-flash,717,0.0625,0.0556,0.0597,,0.65,
bus_2025_q2_7,Business Studies,2025,2.7,6,explanation,en,models/gemini-2.5-flash,946,0.4889,0.5385,0.5087,,0.75,
bus_2025_q2_7,Business Studies,2025,2.7,6,explanation,af,models/gemini-2.5-flash,774,0.1333,0.1538,0.1415,,0.85,
bus_2025_q2_8,Business Studies,2025,2.8,4,advisory,en,models/gemini-2.5-flash,649,0.5366,0.6111,0.5664,,0.92,
bus_2025_q2_8,Business Studies,2025,2.8,4,advisory,af,models/gemini-2.5-flash,542,0.0732,0.0,0.0439,,0.85,
bus_2025_q3_1,Business Studies,2025,3.1,4,list,en,models/gemini-2.5-flash,112,0.2609,0.0625,0.1815,,0.75,
bus_2025_q3_1,Business Studies,2025,3.1,4,list,af,models/gemini-2.5-flash,85,0.0435,0.0625,0.0511,,0.95,
bus_2025_q3_3_1,Business Studies,2025,3.3.1,2,scenario_identification,en,models/gemini-2.5-flash,11,0.0,0.0,0.0,,0.95,
bus_2025_q3_3_1,Business Studies,2025,3.3.1,2,scenario_identification,af,models/gemini-2.5-flash,37,0.0,0.0,0.0,,0.95,
bus_2025_q3_3_2,Business Studies,2025,3.3.2,4,explanation,en,models/gemini-2.5-flash,752,0.5,0.5926,0.537,,0.92,
bus_2025_q3_3_2,Business Studies,2025,3.3.2,4,explanation,af,models/gemini-2.5-flash,558,0.0536,0.037,0.047,,0.92,
bus_2025_q3_4,Business Studies,2025,3.4,4,advisory,en,models/gemini-2.5-flash,1334,0.3929,0.4444,0.4135,,0.85,
bus_2025_q3_4,Business Studies,2025,3.4,4,advisory,af,models/gemini-2.5-flash,1115,0.25,0.5,0.35,,0.85,
bus_2025_q3_5,Business Studies,2025,3.5,4,comparison,en,models/gemini-2.5-flash,611,0.5897,0.7692,0.6615,,0.92,
bus_2025_q3_5,Business Studies,2025,3.5,4,comparison,af,models/gemini-2.5-flash,194,0.1282,0.1538,0.1385,,0.95,
bus_2025_q3_6_2,Business Studies,2025,3.6.2,4,discussion,en,models/gemini-2.5-flash,848,0.3256,0.44,0.3713,,0.35,
bus_2025_q3_6_2,Business Studies,2025,3.6.2,4,discussion,af,models/gemini-2.5-flash,685,0.093,0.08,0.0878,,0.75,
bus_2025_q3_7,Business Studies,2025,3.7,6,description,en,models/gemini-2.5-flash,728,0.4074,0.4545,0.4263,,0.75,
bus_2025_q3_7,Business Studies,2025,3.7,6,description,af,models/gemini-2.5-flash,570,0.0185,0.0,0.0111,,0.72,
bus_2025_q3_8,Business Studies,2025,3.8,4,advisory,en,models/gemini-2.5-flash,1108,0.5217,0.4091,0.4767,,0.25,
bus_2025_q3_8,Business Studies,2025,3.8,4,advisory,af,models/gemini-2.5-flash,828,0.0435,0.0,0.0261,,0.75,
bus_2025_q4_1,Business Studies,2025,4.1,2,list,en,models/gemini-2.5-flash,67,0.3333,0.0,0.2,,0.0,
bus_2025_q4_1,Business Studies,2025,4.1,2,list,af,models/gemini-2.5-flash,195,0.3333,0.0,0.2,,0.0,
bus_2025_q4_2,Business Studies,2025,4.2,4,explanation,en,models/gemini-2.5-flash,881,0.5429,0.8421,0.6626,,0.85,
bus_2025_q4_2,Business Studies,2025,4.2,4,explanation,af,models/gemini-2.5-flash,279,0.0286,0.0526,0.0382,,0.92,
bus_2025_q4_4,Business Studies,2025,4.4,6,discussion,en,models/gemini-2.5-flash,987,0.4717,0.3043,0.4048,,0.75,
bus_2025_q4_4,Business Studies,2025,4.4,6,discussion,af,models/gemini-2.5-flash,861,0.0377,0.0,0.0226,,0.75,
bus_2025_q4_5,Business Studies,2025,4.5,4,recommendation,en,models/gemini-2.5-flash,803,0.5294,0.5263,0.5282,,0.35,
bus_2025_q4_5,Business Studies,2025,4.5,4,recommendation,af,models/gemini-2.5-flash,582,0.0294,0.0,0.0176,,0.35,
bus_2025_q4_6,Business Studies,2025,4.6,4,description,en,models/gemini-2.5-flash,497,0.186,0.1739,0.1812,,0.0,
bus_2025_q4_6,Business Studies,2025,4.6,4,description,af,models/gemini-2.5-flash,63,0.0233,0.0435,0.0313,,0.0,
bus_2025_q4_7,Business Studies,2025,4.7,6,explanation,en,models/gemini-2.5-flash,668,0.7778,0.8182,0.7939,,0.85,
bus_2025_q4_7,Business Studies,2025,4.7,6,explanation,af,models/gemini-2.5-flash,577,0.1667,0.1818,0.1727,,0.85,
bus_2025_q4_8_2,Business Studies,2025,4.8.2,4,explanation,en,models/gemini-2.5-flash,583,0.5652,0.6538,0.6007,,0.95,
bus_2025_q4_8_2,Business Studies,2025,4.8.2,4,explanation,af,models/gemini-2.5-flash,451,0.0217,0.0385,0.0284,,0.95,
bus_2025_q4_9,Business Studies,2025,4.9,4,advisory,en,models/gemini-2.5-flash,888,0.3922,0.5,0.4353,,0.85,
bus_2025_q4_9,Business Studies,2025,4.9,4,advisory,af,models/gemini-2.5-flash,687,0.098,0.0909,0.0952,,0.92,
